Identifier,Collection Name,Title#1,Creator#1,CreatorLink#1,Creator#2,CreatorLink#2,Subject#1,SubjectLink#1,Subject#2,SubjectLink#2$2,SubjectLink#2$1,Subject#3,SubjectLink#3,Description#1,Contributor#1,ContributorLink#1,Contributor#10,ContributorLink#10,Contributor#11,ContributorLink#11,Contributor#12,ContributorLink#12,Contributor#13,ContributorLink#13,Contributor#14,ContributorLink#14,Contributor#15,ContributorLink#15,Contributor#16,ContributorLink#16,Contributor#17,Contributor#18,ContributorLink#18,Contributor#19,ContributorLink#19,Contributor#2,ContributorLink#2,Contributor#20,ContributorLink#20,Contributor#21,ContributorLink#21,Contributor#22,ContributorLink#22,Contributor#23,ContributorLink#23,Contributor#24,ContributorLink#24,Contributor#25,ContributorLink#25,Contributor#26,ContributorLink#26,Contributor#27,ContributorLink#27,Contributor#28,ContributorLink#28,Contributor#29,ContributorLink#29,Contributor#3,ContributorLink#3,Contributor#30,ContributorLink#30,Contributor#31,Contributor#32,Contributor#33,ContributorLink#33,Contributor#34,ContributorLink#34,Contributor#35,Contributor#36,Contributor#37,ContributorLink#37,Contributor#38,ContributorLink#38,Contributor#39,ContributorLink#39,Contributor#4,ContributorLink#4,Contributor#40,Contributor#41,Contributor#42,Contributor#43,Contributor#44,ContributorLink#44,Contributor#45,Contributor#46,ContributorLink#46,Contributor#5,Contributor#47,Contributor#48,Contributor#49,ContributorLink#5,Contributor#6,Contributor#50,ContributorLink#6,Contributor#7,Contributor#8,ContributorLink#8,Contributor#9,ContributorLink#9,Date#1,Type#1,TypeLink#1,Format#1,FormatLink#1,Language#1,LanguageLink#1,Relation#1,RelationLink#1,RelationLink#2,Coverage#1,CoverageLink#1,Rights#1,ln_RECORDID,ln_RECORD_BATCHID,lnexp_MEDIAFILENAME
COU:2436:01:002:007,Colorado Shakespeare Festival Collection,"Colorado Shakespeare Festival, August 2-16, 1958","Colorado Shakespeare Festival, publisher",http://id.loc.gov/authorities/names/n80014177,,,"Shakespeare, William, 1564-1616 -- Dramatic production",http://id.loc.gov/authorities/subjects/sh85120938,Drama festivals -- Colorado,http://id.loc.gov/authorities/subjects/sh85039336,http://id.loc.gov/authorities/names/n80125532,,,"This theater program features the plays Hamlet, Julius Caesar, and The Taming of the Shrew by William Shakespeare.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1958,Text,http://purl.org/dc/dcmitype/Text,theater programs,http://vocab.getty.edu/aat/300027217,English,http://id.loc.gov/vocabulary/iso639-2/eng,"Special Collections, Archives & Preservation, University of Colorado Boulder",Catalog record: http://archives.colorado.edu/repositories/2/archival_objects/34889,Collection record: http://libraries.colorado.edu/record=b10161644~S3,"Boulder, Colorado",http://vocab.getty.edu/tgn/7013446,"Copyright and other restrictions may apply. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html.",25,4622,narv_shakespeareFest_1958Program.pdf
COU:2436:01:002:008,Colorado Shakespeare Festival Collection,"Colorado Shakespeare Festival, August 1 to 15, 1959 souvenir program","Colorado Shakespeare Festival, publisher",http://id.loc.gov/authorities/names/n80014177,,,"Shakespeare, William, 1564-1616 -- Dramatic production",http://id.loc.gov/authorities/subjects/sh85120938,Drama festivals -- Colorado,http://id.loc.gov/authorities/subjects/sh85039336,http://id.loc.gov/authorities/names/n80125532,,,"This souvenir program features the plays A Midsummer Night's Dream, King Richard the Second, and Macbeth by William Shakespeare.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1959,Text,http://purl.org/dc/dcmitype/Text,souvenir programs,http://vocab.getty.edu/aat/300253341,English,http://id.loc.gov/vocabulary/iso639-2/eng,"Special Collections, Archives & Preservation, University of Colorado Boulder",Catalog record: http://archives.colorado.edu/repositories/2/archival_objects/50562,Collection record: http://libraries.colorado.edu/record=b10161644~S3,"Boulder, Colorado",http://vocab.getty.edu/tgn/7013446,"Copyright and other restrictions may apply. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html.",26,4622,narv_shakespeareFest_1959Program.pdf
COU:2436:01:002:009,Colorado Shakespeare Festival Collection,"Colorado Shakespeare Festival, July 31-August 13, [1960]","Colorado Shakespeare Festival, publisher",http://id.loc.gov/authorities/names/n80014177,,,"Shakespeare, William, 1564-1616 -- Dramatic production",http://id.loc.gov/authorities/subjects/sh85120938,Drama festivals -- Colorado,http://id.loc.gov/authorities/subjects/sh85039336,http://id.loc.gov/authorities/names/n80125532,,,"This brochure features the plays I Henvy IV, Antony and Cleopatra, and Twelfth Night by William Shakespeare.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960,Text,http://purl.org/dc/dcmitype/Text,brochures,http://vocab.getty.edu/aat/300248280,English,http://id.loc.gov/vocabulary/iso639-2/eng,"Special Collections, Archives & Preservation, University of Colorado Boulder",Catalog record: http://archives.colorado.edu/repositories/2/archival_objects/50563,Collection record: http://libraries.colorado.edu/record=b10161644~S3,"Boulder, Colorado",http://vocab.getty.edu/tgn/7013446,"Copyright and other restrictions may apply. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html.",27,4622,narv_shakespeareFest_1960Program.pdf
COU:2436:01:002:010,Colorado Shakespeare Festival Collection,"The fourth annual Colorado Shakespeare Festival, August 5-19, 1961, souvenir program","Colorado Shakespeare Festival, publisher",http://id.loc.gov/authorities/names/n80014177,,,"Shakespeare, William, 1564-1616 -- Dramatic production",http://id.loc.gov/authorities/subjects/sh85120938,Drama festivals -- Colorado,http://id.loc.gov/authorities/subjects/sh85039336,http://id.loc.gov/authorities/names/n80125532,,,"This souvenir program from the Fourth Annual Colorado Shakespeare Festival features the plays Henry V, King Lear, and Love's Labour's Lost by William Shakespeare. It includes notes on the Festival and each play; photographs and biographical sketches for the staff and cast; numerous photographs and illustrations; and advertisements from local Festival supporters.","Banks, Howard M.",,"Kloss, William",,"Lawlor, John H.",,"O'Dell, K. Lype",,"Lommen, David",,"McGaffey, Paul",,"Mitchell, Roger",,"Moriarty, Michael, 1941-",http://id.loc.gov/authorities/names/no90021751,"Sutton, Victor","Crouch, J. H.",,"Swain, James",,"Berg, Dennis",,"Viola, Doris",,"Weiser, Ricky",,"Wiles, Rick",,"Sandoe, James",,,,,,,,,,,,,,"Blais, Frederick",,,,,,,,,,,,,,,,,,"Jamison, Richard",,,,,,,,,,,"Cohen, Robert S.",,,,,"Davis, Andrew",,,"Faye, Iris","French, Kenneth",,"Jones, Robert",,1961,Text,http://purl.org/dc/dcmitype/Text,souvenir programs,http://vocab.getty.edu/aat/300253341,English,http://id.loc.gov/vocabulary/iso639-2/eng,"Special Collections, Archives & Preservation, University of Colorado Boulder",Catalog record: http://archives.colorado.edu/repositories/2/archival_objects/50564,Collection record: http://libraries.colorado.edu/record=b10161644~S3,"Boulder, Colorado",http://vocab.getty.edu/tgn/7013446,"Copyright and other restrictions may apply. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html.",1,4622,narv_shakespeareFest_1961Program.pdf
COU:2436:01:002:011,Colorado Shakespeare Festival Collection,"The fifth annual Colorado Shakespeare Festival, August 4-18, 1962, souvenir program","Colorado Shakespeare Festival, publisher",http://id.loc.gov/authorities/names/n80014177,,,"Shakespeare, William, 1564-1616 -- Dramatic production",http://id.loc.gov/authorities/subjects/sh85120938,Drama festivals -- Colorado,http://id.loc.gov/authorities/subjects/sh85039336,http://id.loc.gov/authorities/names/n80125532,,,"This souvenir program from the Fifth Annual Colorado Shakespeare Festival features the plays Romeo and Juliet, The Comedy of Errors, and Othello by William Shakespeare. It includes notes on the Festival and each play; photographs and biographical sketches for the staff and cast; numerous photographs and illustrations; and advertisements from local Festival supporters.","Crouch, J.H.",,"La Certe, Jack",,"Leinaweaver, Eleanor",,"Nicovich, George",,"Leinaweaver, Richard",,"Macht, Stephen",http://id.loc.gov/authorities/names/n85014223,"Manning, Cordelia",,"Moriarty, Michael, 1941-",http://id.loc.gov/authorities/names/no90021751,"Murray, Alexander","Oliver, Regina",,"Wickstrom, Gordon",,"Nadeau, Albert H.",,"Osburn, Fowler",,"Pecor, Charles",,"Preston, Katherine",,"Sterne, Richard",,"Wallace, Bradford",,,,,,,,,,,,"Sandoe, James",,,,,,,,,,,,,,,,,,"Johnson, Edwin",,,,,,,,,,,"Dobkin, William",,,,,"Freeman, David",,,"Gallegos, Lawrence","Gordon, Lawrence",,"Hooker, Alice",,1962,Text,http://purl.org/dc/dcmitype/Text,souvenir programs,http://vocab.getty.edu/aat/300253341,English,http://id.loc.gov/vocabulary/iso639-2/eng,"Special Collections, Archives & Preservation, University of Colorado Boulder",Catalog record: http://archives.colorado.edu/repositories/2/archival_objects/50565,Collection record: http://libraries.colorado.edu/record=b10161644~S3,"Boulder, Colorado",http://vocab.getty.edu/tgn/7013446,"Copyright and other restrictions may apply. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html.",2,4622,narv_shakespeareFest_1962Program.pdf
COU:2436:01:002:012,Colorado Shakespeare Festival Collection,The sixth annual Colorado Shakespeare Festival 1963 souvenir program,"Colorado Shakespeare Festival, publisher",http://id.loc.gov/authorities/names/n80014177,,,"Shakespeare, William, 1564-1616 -- Dramatic production",http://id.loc.gov/authorities/subjects/sh85120938,Drama festivals -- Colorado,http://id.loc.gov/authorities/subjects/sh85039336,http://id.loc.gov/authorities/names/n80125532,,,"This souvenir program from the Sixth Annual Colorado Shakespeare Festival features the plays Measure for Measure, Richard III, and Much Ado About Nothing by William Shakespeare. It includes notes on the Festival and each play; photographs and biographical sketches for the staff and cast; numerous photographs and illustrations; and advertisements from local Festival supporters.","Crouch, J.H.",,"Lines, John",,"Mitchell, Justin",,"Golbert, Marsha",,"Nicovich, George",,"O'Brien, John",,"O'dell, K. Lype",,"Davis, Gary",,"Ohm, Karen","Oliver, Regina",,"Preston, Katherine",,"Kreuzer, Terese",,"Renner, Michael",,"Bachman, Betty",,"Reynolds, Edgar",http://id.loc.gov/authorities/names/n2009039284,"Hicks, Lee Roy",,"Riker, Robin",http://id.loc.gov/authorities/names/nr2006017936,"Rogatkin, Juri",,"Rolling, Hubert",,"Sandoe, Anne",,"De Santis, Frederic",,"Sandoe, John",,"Lamarsh, Marilyn",,"Stafford, Edward",,"Stroud, Walter C.","Sukle, Robert","Waugh, Debby",,"Sandoe, James",,"Bell, Mary","Weiser, Ricky","Bridges, Robert",,"Carney, Kim",,"Carr, Susan",,"Daily, Richard",,"Dixon, Max","Chomont, Kenneth","Dobkin, William","Edmands, Allan","Foster, Patricia",,"Houck, William","Gallegos, Lawrence",,"Lawlor, John","Huntsman, Berverly","Huntsman, Jeffrey F.","Johnson, Glenn",,"Lee, Sylvia","Kohlmann, Midge",,"Leinaweaver, Eleanor Harper","Banks, Howard M.",,"Lines, Jerri",,1963,Text,http://purl.org/dc/dcmitype/Text,souvenir programs,http://vocab.getty.edu/aat/300253341,English,http://id.loc.gov/vocabulary/iso639-2/eng,"Special Collections, Archives & Preservation, University of Colorado Boulder",Catalog record: http://archives.colorado.edu/repositories/2/archival_objects/50566,Collection record: http://libraries.colorado.edu/record=b10161644~S3,"Boulder, Colorado",http://vocab.getty.edu/tgn/7013446,"Copyright and other restrictions may apply. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html.",3,4622,narv_shakespeareFest_1963Program.pdf
COU:2436:01:002:013,Colorado Shakespeare Festival Collection,The seventh annual Colorado Shakespeare Festival 1964 souvenir program,"Colorado Shakespeare Festival, publisher",http://id.loc.gov/authorities/names/n80014177,,,"Shakespeare, William, 1564-1616 -- Dramatic production",http://id.loc.gov/authorities/subjects/sh85120938,Drama festivals -- Colorado,http://id.loc.gov/authorities/subjects/sh85039336,http://id.loc.gov/authorities/names/n80125532,,,"This souvenir program from the Seventh Annual Colorado Shakespeare Festival features the plays As You Like It, King John, and Troilus and Cressida by William Shakespeare. It includes notes on the Festival and each play; photographs and biographical sketches for the staff and cast; numerous photographs and illustrations; and advertisements from local Festival supporters.","Nadeau, Albert H.",,"Mitchell, Justin",,"Nadeau, Barry",,"Green, David",,"Nadeau, Ellen",,"Nadeau, Mark",,"Perry, Floyd",,"DeSantis, Frederic",,"Preston, Paula","Price, Roberta",,"Rascoe, Josephine",,"Kohn, Susan",,"Renner, Michael",,"Allen, Ella Marie",,"Reynolds, Edgar",http://id.loc.gov/authorities/names/n2009039284,"Green, Harry L.",,"Ricker, Robin",http://id.loc.gov/authorities/names/nr2006017936,"Robertson, Leonard Alan",,"Ryan, Tom R.",,"Sandoe, Anne",,"Dobkin, William",,"Skagerberg, Marvin C.",,"Kraft, Barry",http://id.loc.gov/authorities/names/n98098582,"Stafford, Edward",,"Stone, S. Kenneth","Taaffe, Jewel B.","Trevor, Tom",,"Sandoe, James",,"Berezenko, Nicholas","Weiser, Ricky","Bissell, Steve",,"Borden, Marshall E.",,"Corbin, L. Barry",,"DeChadenedes, Anne",,"Eames, Doug","Crow, Dorothy","Edelman, Charles","Foster, Patricia","Gore, Linda",,"Haloulos, Peter","Grassle, Karen, 1944",http://id.loc.gov/authorities/names/n87860187,"Lockett, Rus G.","Hatcher, Zachary","Johnson, Glenn","Johnson, Robert L.",,"McCandless, C. Marsh","Knaub, Mandy",,"Maraviglia, Larry John","Shattuck, Charles H.",,"Millar, Robert",,1964,Text,http://purl.org/dc/dcmitype/Text,souvenir programs,http://vocab.getty.edu/aat/300253341,English,http://id.loc.gov/vocabulary/iso639-2/eng,"Special Collections, Archives & Preservation, University of Colorado Boulder",Catalog record: http://archives.colorado.edu/repositories/2/archival_objects/50567,Collection record: http://libraries.colorado.edu/record=b10161644~S3,"Boulder, Colorado",http://vocab.getty.edu/tgn/7013446,"Copyright and other restrictions may apply. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html.",4,4622,narv_shakespeareFest_1964Program.pdf
COU:2436:01:002:014,Colorado Shakespeare Festival Collection,The eighth annual Colorado Shakespeare Festival 1965 souvenir program … [with the] 18th annual Creative Arts Festival,"Colorado Shakespeare Festival, publisher",http://id.loc.gov/authorities/names/n80014177,,,"Shakespeare, William, 1564-1616 -- Dramatic production",http://id.loc.gov/authorities/subjects/sh85120938,Drama festivals -- Colorado,http://id.loc.gov/authorities/subjects/sh85039336,http://id.loc.gov/authorities/names/n80125532,,,"This souvenir program from the Eighth Annual Colorado Shakespeare Festival features the plays Hamlet, The Tempest, and King Henry IV, pt. 2 by William Shakespeare. It includes notes on the Festival and each play; photographs and biographical sketches for the staff and cast; numerous photographs and illustrations; and advertisements from local Festival supporters.","Sandoe, James",,"Hedemann, Christian",,"Johnson, Glenn H.",,"Renner, Michael",,"Kraft, Barry",http://id.loc.gov/authorities/names/n98098582,"Minault, Pierre",,"Pollack, Bob",,"Prindle, Roderic",http://id.loc.gov/authorities/names/n86873757,"Roseen, Irene","Cobin, Martin, 1920-",http://id.loc.gov/authorities/names/no2010056494,"Stafford, Ed",,"Antoszewski, Eugene J.",,"Tini, Thomas",,"Weiser, Ricky",,"Wines, Christopher",http://id.loc.gov/authorities/names/n2009053848,"Reynolds, Edgar",http://id.loc.gov/authorities/names/n2009039284,,,,,,,,,,,,,"Askew, Margarete",,,,,,,,,,,,,,,,,,"Grassle, Karen, 1944-",http://id.loc.gov/authorities/names/n87860187,,,,,,,,,,"Blanc, Maurice",,,,,"Brannock, James",,,"Casey, Timothy","Gordon, Fred",,"Griffin, Alan",,1965,Text,http://purl.org/dc/dcmitype/Text,souvenir programs,http://vocab.getty.edu/aat/300253341,English,http://id.loc.gov/vocabulary/iso639-2/eng,"Special Collections, Archives & Preservation, University of Colorado Boulder",Catalog record: http://archives.colorado.edu/repositories/2/archival_objects/50568,Collection record: http://libraries.colorado.edu/record=b10161644~S3,"Boulder, Colorado",http://vocab.getty.edu/tgn/7013446,"Copyright and other restrictions may apply. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html.",5,4622,narv_shakespeareFest_1965Program.pdf
COU:2436:01:002:015,Colorado Shakespeare Festival Collection,"Ninth annual Colorado Shakespeare Festival, August 6-21, 1966","Colorado Shakespeare Festival, publisher",http://id.loc.gov/authorities/names/n80014177,,,"Shakespeare, William, 1564-1616 -- Dramatic production",http://id.loc.gov/authorities/subjects/sh85120938,Drama festivals -- Colorado,http://id.loc.gov/authorities/subjects/sh85039336,http://id.loc.gov/authorities/names/n80125532,,,"This brochure features the plays The Merchant of Venice, The Merry Wives of Windsor, and Coriolanus by William Shakespeare.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1966,Text,http://purl.org/dc/dcmitype/Text,brochures,http://vocab.getty.edu/aat/300248280,English,http://id.loc.gov/vocabulary/iso639-2/eng,"Special Collections, Archives & Preservation, University of Colorado Boulder",Catalog record: http://archives.colorado.edu/repositories/2/archival_objects/50569,Collection record: http://libraries.colorado.edu/record=b10161644~S3,"Boulder, Colorado",http://vocab.getty.edu/tgn/7013446,"Copyright and other restrictions may apply. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html.",38,4622,narv_shakespeareFest_1966Program_b.pdf
COU:2436:01:002:015,Colorado Shakespeare Festival Collection,The ninth annual Colorado Shakespeare Festival 1966 souvenir program … [with the] 19th annual Creative Arts Program,"Colorado Shakespeare Festival, publisher",http://id.loc.gov/authorities/names/n80014177,,,"Shakespeare, William, 1564-1616 -- Dramatic production",http://id.loc.gov/authorities/subjects/sh85120938,Drama festivals -- Colorado,http://id.loc.gov/authorities/subjects/sh85039336,http://id.loc.gov/authorities/names/n80125532,,,"This souvenir program from the Ninth Annual Colorado Shakespeare Festival features the plays The Merchant of Venice, The Merry Wives of Windsor, and Coriolanus by William Shakespeare. It includes notes on the Festival and each play; photographs and biographical sketches for the staff and cast; numerous photographs and illustrations; and advertisements from local Festival supporters.","Nadeau, Albert H.",,"Kraft, Barry",http://id.loc.gov/authorities/names/n98098582,"Lang, James",,"Du Rand Morgan, Le Clanche",,"Larson, Dana",,"Lemley, Ned",,"Lopez-Morillas, Julian",,"McDermott, Patrick",,"Schenck, Garrett","Sandoe, James",,"Ritchell, Ronald",,"Biles, Milton",,"Sutorius, James, 1944-",http://id.loc.gov/authorities/names/no2004108289,"Walter, Frederick",,"Weiser, Ricky",,"Reynolds, Edgar",http://id.loc.gov/authorities/names/n2009039284,,,,,,,,,,,,,"Bramhall, Mark",,,,,,,,,,,,,,,,,,"Forester, Phillip",,,,,,,,,,,"Casey, Timothy",,,,,"Conwell, Charles",,,"De Gusta, Kenneth","Edmondson, James",,"Gallegos, Lawrence",,1966,Text,http://purl.org/dc/dcmitype/Text,souvenir programs,http://vocab.getty.edu/aat/300253341,English,http://id.loc.gov/vocabulary/iso639-2/eng,"Special Collections, Archives & Preservation, University of Colorado Boulder",Catalog record: http://archives.colorado.edu/repositories/2/archival_objects/50569,Collection record: http://libraries.colorado.edu/record=b10161644~S3,"Boulder, Colorado",http://vocab.getty.edu/tgn/7013446,"Copyright and other restrictions may apply. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html.",6,4622,narv_shakespeareFest_1966Program.pdf
